Author,Shubham Malik
GitHub,https://github.com/subhm2004
Repo,https://github.com/subhm2004/DSA-CP
Tracker,DSA Patterns — progress tracker (Done/Todo auto-mapped from repo)
Generated,2026-08-07

sr,category_no,category,pattern_no,pattern,leetcode_id,problem,status,repo_file,in_30day_core,leetcode_url
134,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,1976,Number of Ways to Arrive at Destination,Todo,,No,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/
135,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,2045,Second Minimum Time to Reach Destination,Todo,,No,https://leetcode.com/problems/second-minimum-time-to-reach-destination/
136,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,2203,Minimum Weighted Subgraph With the Required Paths,Todo,,No,https://leetcode.com/problems/minimum-weighted-subgraph-with-the-required-paths/
137,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,2290,Minimum Obstacle Removal to Reach Corner,Todo,,No,https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/
138,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,2577,Minimum Time to Visit a Cell In a Grid,Todo,,No,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid/
139,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,2812,Find the Safest Path in a Grid,Todo,,No,https://leetcode.com/problems/find-the-safest-path-in-a-grid/
140,4,Graph Traversal Patterns (DFS & BFS),24,Shortest Path (Bellman-Ford / BFS+K),787,Cheapest Flights Within K Stops,Todo,,No,https://leetcode.com/problems/cheapest-flights-within-k-stops/
141,4,Graph Traversal Patterns (DFS & BFS),24,Shortest Path (Bellman-Ford / BFS+K),1129,Shortest Path with Alternating Colors,Todo,,No,https://leetcode.com/problems/shortest-path-with-alternating-colors/
142,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,200,Number of Islands,Done,DSA/graphs/number_of_islands.cpp,Yes,https://leetcode.com/problems/number-of-islands/
143,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,261,Graph Valid Tree,Done,DSA/graphs/cycle_detection_undirected.cpp,No,https://leetcode.com/problems/graph-valid-tree/
144,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,305,Number of Islands II,Todo,,No,https://leetcode.com/problems/number-of-islands-ii/
145,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,323,Number of Connected Components in an Undirected Graph,Todo,,Yes,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
146,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,547,Number of Provinces,Done,DSA/graphs/number_of_provinces.cpp,Yes,https://leetcode.com/problems/number-of-provinces/
147,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,684,Redundant Connection,Done,DSA/graphs/union_find.cpp,No,https://leetcode.com/problems/redundant-connection/
148,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,721,Accounts Merge,Todo,,No,https://leetcode.com/problems/accounts-merge/
149,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,737,Sentence Similarity II,Todo,,No,https://leetcode.com/problems/sentence-similarity-ii/
150,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,947,Most Stones Removed with Same Row or Column,Todo,,No,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/
151,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,952,Largest Component Size by Common Factor,Todo,,No,https://leetcode.com/problems/largest-component-size-by-common-factor/
152,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,959,Regions Cut By Slashes,Todo,,No,https://leetcode.com/problems/regions-cut-by-slashes/
